TT=148,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=149,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=150,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=151,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=152,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=153,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=154,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=155,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=156,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=157,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=158,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=159,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=160,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=161,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=162,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=163,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=164,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=165,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=166,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=167,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=168,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=169,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=170,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=171,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=172,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=173,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=174,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=175,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=176,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=177,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=178,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=179,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=180,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=181,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=182,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=183,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=184,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=185,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=186,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=187,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=188,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.666667e-001
TT=189,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
TT=190,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
